	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	31	9	26	1	1	27	48	0	0	14.0575 	0	0
DL	32	0	1	1	1	2	282	8	0	5.00435	 	0	0
UL	32	0	2	1	1	2	327	9	0	5.00435 	0	0
DL	32	0	3	1	1	3	1254	22	0	17.9918	 	0	0
UL	32	0	4	1	1	3	1351	23	0	17.9918 	0	1.71971e-07
DL	32	0	5	1	1	4	1776	28	0	49.0734	 	0	0
UL	32	0	6	1	1	4	1776	28	0	49.0734 	0	0
DL	32	0	7	1	1	5	1449	24	0	20.5184	 	0	4.15223e-14
UL	32	0	8	1	1	5	1543	25	0	20.5184 	0	0.00233638
DL	32	0	9	1	1	6	768	16	0	9.51707	 	0	9.18273e-06
UL	32	0	10	1	1	6	768	16	0	9.51707 	0	9.18273e-06
DL	32	0	11	1	1	7	191	6	0	2.42259	 	0	0
UL	32	0	12	1	1	7	236	7	0	2.42259 	0	1.31455e-08
DL	32	0	13	1	1	8	1776	28	0	44.8716	 	0	0
UL	32	0	14	1	1	8	1776	28	0	44.8716 	0	0
DL	32	0	15	1	1	9	1776	28	0	34.7955	 	0	0
UL	32	0	16	1	1	9	1776	28	0	34.7955 	0	0
DL	32	0	17	1	1	10	1776	28	0	46.6112	 	0	0
UL	32	0	18	1	1	10	1776	28	0	46.6112 	0	0
DL	32	0	19	1	1	11	1640	26	0	23.6758	 	0	4.19949e-06
UL	32	0	20	1	1	11	1640	26	0	23.6758 	0	4.19949e-06
DL	32	0	21	1	1	12	68	2	0	-3.6382	 	0	7.30222e-10
UL	32	0	22	1	1	12	68	2	0	-3.6382 	0	7.30222e-10
DL	32	0	23	1	1	13	1776	28	0	27.5196	 	0	0
UL	32	0	24	1	1	13	1776	28	0	27.5196 	0	0
DL	32	0	25	1	1	14	1776	28	0	39.004	 	0	0
UL	32	0	26	1	1	14	1776	28	0	39.004 	0	0
DL	32	0	27	1	1	15	768	16	0	9.9713	 	0	0
UL	32	0	28	1	1	15	768	16	0	9.9713 	0	0
DL	32	0	29	1	1	16	1776	28	0	48.7874	 	0	0
UL	32	0	30	1	1	16	1776	28	0	48.7874 	0	0
DL	32	0	31	1	1	17	1776	28	0	53.792	 	0	0
UL	32	0	32	1	1	17	1776	28	0	53.792 	0	0
DL	32	0	33	1	1	18	1060	20	0	16.4924	 	0	0
UL	32	0	34	1	1	18	1157	21	0	16.4924 	0	3.15814e-12
DL	32	0	35	1	1	19	619	14	0	8.44648	 	0	0
UL	32	0	36	1	1	19	619	14	0	8.44648 	0	0
DL	32	0	37	1	1	20	282	8	0	4.66951	 	0	1.15685e-13
UL	32	0	38	1	1	20	327	9	0	4.66951 	0	3.58957e-12
DL	32	0	39	1	1	21	1776	28	0	38.4111	 	0	0
UL	32	0	40	1	1	21	1776	28	0	38.4111 	0	0
DL	32	0	41	1	1	22	1776	28	0	39.617	 	0	0
UL	32	0	42	1	1	22	1776	28	0	39.617 	0	0
DL	32	0	43	1	1	23	385	10	0	5.37086	 	0	6.18047e-11
UL	32	0	44	1	1	23	385	10	0	5.37086 	0	6.18047e-11
DL	32	0	45	1	1	24	1776	28	0	51.8983	 	0	0
UL	32	0	46	1	1	24	1776	28	0	51.8983 	0	0
DL	32	0	47	1	1	25	191	6	0	0.528364	 	0	6.80123e-05
UL	32	0	48	1	1	25	191	6	0	0.528364 	0	6.80123e-05
DL	32	0	49	1	1	26	191	6	0	2.48635	 	0	0
UL	32	0	50	1	1	26	236	7	0	2.48635 	0	5.15988e-11
DL	32	0	51	1	1	27	865	18	0	14.0575	 	0	0
UL	32	0	52	1	1	27	963	19	0	14.0575 	0	8.93479e-08
DL	32	1	1	1	2	1	1776	28	0	51.2568	 	0	0
DL	32	1	3	1	2	2	1776	28	0	35.1033	 	0	0
DL	32	1	5	1	2	3	1776	28	0	56.6532	 	0	0
DL	32	1	7	1	2	4	768	16	0	11.1325	 	0	0
DL	32	1	9	1	2	5	1449	24	0	22.2613	 	0	0
DL	32	1	11	1	2	6	1776	28	0	55.3948	 	0	0
DL	32	1	13	1	2	7	619	14	0	7.9536	 	0	1.55853e-10
DL	32	1	15	1	2	8	1776	28	0	46.4913	 	0	0
